[hirise_dtm] 1.84 GB -> jezero_hirise_dtm_1m.tif
        1 m/px HiRISE stereo DTM, 21488 x 21400 px = 21.5 x 21.4 km centred on the landing site. This is the resolution at which boulders and metre scarps are actually visible, i.e. the terrain that stops rovers.
          0.6% 10.5 MB  973 KB/s  eta 31 min
          2.2% 39.8 MB  1893 KB/s  eta 15 min
          4.2% 76.5 MB  2432 KB/s  eta 12 min
          6.0% 110.1 MB  2625 KB/s  eta 11 min
          7.4% 135.3 MB  2580 KB/s  eta 11 min
          8.7% 160.4 MB  2554 KB/s  eta 11 min
         10.3% 189.8 MB  2570 KB/s  eta 10 min
         12.1% 222.3 MB  2636 KB/s  eta 10 min
         13.9% 255.9 MB  2702 KB/s  eta 10 min
         15.4% 284.2 MB  2705 KB/s  eta 9 min
         16.9% 310.4 MB  2689 KB/s  eta 9 min
         18.5% 339.7 MB  2701 KB/s  eta 9 min
         20.1% 370.1 MB  2719 KB/s  eta 9 min
         21.7% 398.5 MB  2718 KB/s  eta 9 min
         23.1% 424.7 MB  2707 KB/s  eta 9 min
         24.2% 445.6 MB  2661 KB/s  eta 9 min
         25.4% 467.7 MB  2631 KB/s  eta 8 min
         26.9% 494.9 MB  2631 KB/s  eta 8 min
         28.8% 530.6 MB  2675 KB/s  eta 8 min
         30.6% 563.1 MB  2695 KB/s  eta 8 min
         32.0% 589.3 MB  2684 KB/s  eta 8 min
         32.9% 605.0 MB  2632 KB/s  eta 8 min
         34.3% 630.2 MB  2623 KB/s  eta 8 min
         36.3% 667.9 MB  2661 KB/s  eta 7 min
         38.2% 703.6 MB  2692 KB/s  eta 7 min
         39.9% 734.0 MB  2700 KB/s  eta 7 min
         41.4% 761.3 MB  2697 KB/s  eta 7 min
         43.1% 792.7 MB  2709 KB/s  eta 6 min
         44.7% 822.1 MB  2712 KB/s  eta 6 min
         46.4% 853.5 MB  2721 KB/s  eta 6 min
         48.2% 886.0 MB  2735 KB/s  eta 6 min
         49.6% 913.3 MB  2730 KB/s  eta 6 min
         51.3% 943.7 MB  2737 KB/s  eta 5 min
         52.8% 971.0 MB  2733 KB/s  eta 5 min
         54.3% 999.3 MB  2731 KB/s  eta 5 min
         55.5% 1.02 GB  2713 KB/s  eta 5 min
         56.8% 1.05 GB  2703 KB/s  eta 5 min
         57.9% 1.06 GB  2679 KB/s  eta 5 min
         59.2% 1.09 GB  2673 KB/s  eta 5 min
         61.3% 1.13 GB  2696 KB/s  eta 4 min
         62.8% 1.16 GB  2694 KB/s  eta 4 min
         64.3% 1.18 GB  2693 KB/s  eta 4 min
         66.2% 1.22 GB  2709 KB/s  eta 4 min
         67.9% 1.25 GB  2719 KB/s  eta 4 min
         69.4% 1.28 GB  2716 KB/s  eta 3 min
         70.6% 1.30 GB  2703 KB/s  eta 3 min
         72.0% 1.32 GB  2696 KB/s  eta 3 min
         73.8% 1.36 GB  2705 KB/s  eta 3 min
         74.8% 1.38 GB  2687 KB/s  eta 3 min
         75.9% 1.40 GB  2670 KB/s  eta 3 min
         77.1% 1.42 GB  2662 KB/s  eta 3 min
         78.7% 1.45 GB  2666 KB/s  eta 2 min
         80.1% 1.47 GB  2661 KB/s  eta 2 min
         81.2% 1.49 GB  2647 KB/s  eta 2 min
         82.2% 1.51 GB  2630 KB/s  eta 2 min
         83.5% 1.54 GB  2623 KB/s  eta 2 min
         85.3% 1.57 GB  2631 KB/s  eta 2 min
         86.4% 1.59 GB  2620 KB/s  eta 2 min
         87.8% 1.61 GB  2617 KB/s  eta 1 min
         89.5% 1.65 GB  2625 KB/s  eta 1 min
         91.1% 1.68 GB  2628 KB/s  eta 1 min
         92.6% 1.70 GB  2626 KB/s  eta 1 min
         93.7% 1.72 GB  2615 KB/s  eta 1 min
         94.5% 1.74 GB  2595 KB/s  eta 1 min
         95.7% 1.76 GB  2590 KB/s  eta 0 min
         97.1% 1.79 GB  2587 KB/s  eta 0 min
         98.5% 1.81 GB  2586 KB/s  eta 0 min
        done: C:\Users\antriksh\Downloads\nasaopen\marswalk\data\jezero_hirise_dtm_1m.tif (1.84 GB) in 11.5 min
